Team,Nickname,City,State[2],Enrollment,Currentconference,Formerconferences,Firstplayed,JoinedFBS
Illinois,Fighting Illini,Urbana–Champaign,Illinois,"56,607",Big Ten,Illinois Intercollegiate Football League,1890,
Indiana,Hoosiers,Bloomington,Indiana,"45,328",Big Ten,IIAA,1887,
Iowa,Hawkeyes,Iowa City,Iowa,"29,909",Big Ten,"WIUFA, MVC",1889,
Iowa State,Cyclones,Ames,Iowa,"30,708",Big 12,"MVC, Big 8",1892,
Jacksonville State,Gamecocks,Jacksonville,Alabama,"9,238",C-USA[n 6],"SIAA, Alabama Intercollegiate/Collegiate, Mid-South/Gulf South, Division II Independent, Southland, OVC, WAC, ASUN",1904,2023
James Madison,Dukes,Harrisonburg,Virginia,"22,166",Sun Belt,"VCAA, FCS Independent, Yankee Conference, Atlantic 10, CAA",1972,2022
Kansas,Jayhawks,Lawrence,Kansas,"26,780",Big 12,"KCAC, WIUFA, MVC, Big 8",1890,
Kansas State,Wildcats,Manhattan,Kansas,"20,229",Big 12,"MVC, Big 8",1896,
Kent State,Golden Flashes,Kent,Ohio,"26,597",MAC,OAC,1920,
Kentucky,Wildcats,Lexington,Kentucky,"30,390",SEC,"SIAA, SoCon",1881,
Liberty,Flames,Lynchburg,Virginia,"95,148",C-USA,"Big South, Independent",1973,2018
Louisiana,Ragin' Cajuns,Lafayette,Louisiana,"16,225",Sun Belt,"Louisiana Intercollegiate Athletic Association, Louisiana Intercollegiate Conference, Gulf States Conference, SIAA, Southland, Big West",1902,
Louisiana–Monroe,Warhawks,Monroe,Louisiana,"8,565",Sun Belt,"Gulf States Conference, Southland, Independent",1951,1994
Louisiana Tech,Bulldogs,Ruston,Louisiana,"11,037",C-USA,"Louisiana Intercollegiate Athletic Association, Louisiana Intercollegiate Conference, Gulf States Conference, SIAA, Southland, Big West, WAC",1901,1989
Louisville,Cardinals,Louisville,Kentucky,"22,140",ACC,"KIAC, SIAA, KIAC, OVC, MVC, C-USA, Big East, American",1910,
LSU,Tigers,Baton Rouge,Louisiana,"35,912",SEC,"SIAA, SoCon",1893,
Marshall,Thundering Herd,Huntington,West Virginia,"11,125",Sun Belt,"WVIAC, Buckeye Conference, OVC, MAC, SoCon, C-USA",1895,1997[n 2]
Maryland,Terrapins,College Park,Maryland,"41,272",Big Ten,"MIFA, SAIAA, SoCon, ACC",1888,
Memphis,Tigers,Memphis,Tennessee,"21,622",American,"Mississippi Valley Conference, SIAA, MVC, C-USA[n 5]",1912,
Miami (FL),Hurricanes,Coral Gables[n 7],Florida,"19,096",ACC,"SIAA, Big East",1926,
Miami (OH),RedHawks,Oxford,Ohio,"19,216",MAC,"OAC, Buckeye Conference",1888,
Michigan,Wolverines,Ann Arbor,Michigan,"50,278",Big Ten,None[n 8],1879,
Michigan State,Spartans,East Lansing,Michigan,"49,659",Big Ten,MIAA,1885,
Middle Tennessee,Blue Raiders,Murfreesboro,Tennessee,"20,857",C-USA,"VSAC, SIAA, OVC, Sun Belt",1911,1999
Minnesota,Golden Gophers,Minneapolis,Minnesota,"52,376",Big Ten,None[n 8],1882,
Mississippi State,Bulldogs,Starkville[n 9],Mississippi,"23,086",SEC,"SIAA, SoCon",1895,
Missouri,Tigers,Columbia,Missouri,"31,412",SEC,"WIUFA, Big 8, Big 12",1890,
Navy,Midshipmen,Annapolis,Maryland,"4,528",American[n 10],Independent,1879,
NC State,Wolfpack,Raleigh,North Carolina,"36,831",ACC,"SAIAA, SIAA, SoCon",1892,
Nebraska,Cornhuskers,Lincoln,Nebraska,"24,431",Big Ten,"WIUFA, MVC, Big 8, Big 12",1890,
Nevada,Wolf Pack,Reno,Nevada,"21,034",Mountain West,"NCAC, Big Sky, Big West, WAC",1896,1992
New Mexico,Lobos,Albuquerque,New Mexico,"21,738",Mountain West,"BIAA, WAC",1892,
New Mexico State,Aggies,Las Cruces,New Mexico,"13,904",C-USA,"BIAA, MVC, Big West, Sun Belt, WAC, Independent",1893,
North Carolina,Tar Heels,Chapel Hill,North Carolina,"31,733",ACC,"SAIAA, SIAA, SoCon",1888,
North Texas,Mean Green,Denton,Texas,"42,454",American,"TIAA, Lone Star, Gulf Coast Conference, MVC, Southland, Big West, Sun Belt, C-USA",1913,1995
Northern Illinois,Huskies,DeKalb,Illinois,"16,234",MAC,"IIAC, Big West",1899,
Northwestern,Wildcats,Evanston,Illinois,"22,933",Big Ten,None[n 8],1876,
Notre Dame,Fighting Irish,South Bend,Indiana,"13,139",Independent,ACC[n 11],1887,
Ohio,Bobcats,Athens,Ohio,"24,429",MAC,"OAC, Buckeye Conference",1894,
Ohio State,Buckeyes,Columbus,Ohio,"61,677",Big Ten,OAC,1889,
Oklahoma,Sooners,Norman,Oklahoma,"28,042",Big 12[n 12],"Oklahoma Intercollegiate Conference, SWC, MVC, Big 8",1895,
Oklahoma State,Cowboys,Stillwater,Oklahoma,"24,660",Big 12,"Oklahoma Intercollegiate Conference, SWC, MVC, Big 8",1901,
Old Dominion,Monarchs,Norfolk,Virginia,"23,494",Sun Belt,"CAA, C-USA",2009,2014
Ole Miss,Rebels,Oxford,Mississippi,"21,203",SEC,"SIAA, SoCon",1893,
Oregon,Ducks,Eugene,Oregon,"22,257",Pac-12,"PCC, Independent",1894,
Oregon State,Beavers,Corvallis,Oregon,"33,193",Pac-12,"PCC, Independent",1893,
Penn State,Nittany Lions,University Park[n 13],Pennsylvania,"47,560",Big Ten,Independent,1881,
Pittsburgh,Panthers,Pittsburgh[n 14],Pennsylvania,"29,238",ACC,Big East,1890,
Purdue,Boilermakers,West Lafayette,Indiana,"49,639",Big Ten,IIAA,1887,
Rice,Owls,Houston,Texas,"8,285",American,"TIAA, SWC, WAC, C-USA",1912,
Rutgers,Scarlet Knights,Piscataway[n 15],New Jersey,"50,804",Big Ten,"Middle Atlantic, Big East, American",1869,
Sam Houston,Bearkats,Huntsville,Texas,"21,679",C-USA[n 16],"TIAA, Lone Star, Gulf Star, Southland, WAC",1912,2023
San Diego State,Aztecs,San Diego,California,"35,732",Mountain West,"Southern California Junior College Conference, SCIAC, CCAA, Big West, WAC",1921,1969
San Jose State,Spartans,San Jose,California,"37,133",Mountain West,"California Coast Conference, NCAC, California Collegiate, Big West, WAC",1892,
SMU,Mustangs,University Park[n 17],Texas,"12,385",American,"TIAA, SWC, WAC, C-USA[n 5]",1915,
South Alabama,Jaguars,Mobile,Alabama,"13,992",Sun Belt,FCS Independent,2009,2012
South Carolina,Gamecocks,Columbia,South Carolina,"35,471",SEC,"SIAA, SoCon, ACC",1892,
South Florida,Bulls,Tampa[n 18],Florida,"44,322",American,"C-USA, Big East",1997,2001
Southern Miss,Golden Eagles,Hattiesburg,Mississippi,"14,146",Sun Belt,"Gulf States Conference, SIAA. C-USA",1912,
Stanford,Cardinal,Stanford[n 19],California,"17,680",Pac-12,PCC,1891,
Syracuse,Orange,Syracuse,New York,"21,772",ACC,Big East,1889,
TCU,Horned Frogs,Fort Worth,Texas,"11,938",Big 12,"TIAA, SWC, WAC, C-USA, MW",1896,
Temple,Owls,Philadelphia[n 20],Pennsylvania,"35,626",American,"Middle Atlantic, Big East, MAC, Big East",1894,
Tennessee,Volunteers,Knoxville,Tennessee,"31,701",SEC,"SIAA, SoCon",1891,
Texas,Longhorns,Austin,Texas,"51,991",Big 12[n 12],"SIAA, TIAA, SWC",1893,
Texas A&M,Aggies,College Station,Texas,"72,530",SEC,"SIAA, SWC, Big 12",1894,
Texas State,Bobcats,San Marcos,Texas,"37,864",Sun Belt,"TIAA, Lone Star, Gulf Star, Southland, WAC",1904,2012
Texas Tech,Red Raiders,Lubbock,Texas,"40,542",Big 12,"BIAA, SWC",1925,
Toledo,Rockets,Toledo,Ohio,"17,045",MAC,"Northwestern Ohio Intercollegiate Athletic Association, OAC",1917,
Troy,Trojans,Troy,Alabama,"14,901",Sun Belt,"Alabama Intercollegiate Conference, SIAA, Alabama Collegiate Conference, Mid-South Athletic Conference, Gulf South, Southland",1909,2002
Tulane,Green Wave,New Orleans,Louisiana,"13,127",American,"SIAA, SoCon, SEC, C-USA",1893,
Tulsa,Golden Hurricane,Tulsa,Oklahoma,"3,832",American,"Oklahoma Intercollegiate Conference, Big 4 Conference, MVC, WAC, C-USA",1895,
UAB,Blazers,Birmingham,Alabama,"22,289",American,"FCS Independent, C-USA",1991,1999
UCF,Knights,Orlando,Florida,"70,406",Big 12,"MAC, C-USA, American",1979,1996
UCLA,Bruins,Los Angeles,California,"47,516",Pac-12[n 21],"SCIAC, PCC",1919,
UConn,Huskies,Storrs[n 22],Connecticut,"32,146",Independent,"Yankee, A-10, Big East, American",1896,2000
UMass,Minutemen,Amherst,Massachusetts,"32,045",Independent,"Yankee, A-10, CAA, MAC",1879,2012
UNLV,Rebels,Las Vegas[n 23],Nevada,"30,679",Mountain West,"Big West, WAC",1968,1978
USC,Trojans,Los Angeles,California,"49,318",Pac-12[n 21],PCC,1888,
UTEP,Miners,El Paso,Texas,"24,003",C-USA,"BIAA, WAC",1914,
UTSA,Roadrunners,San Antonio,Texas,"34,734",American,"WAC, C-USA",2011,2012
Utah,Utes,Salt Lake City,Utah,"34,464",Pac-12,"Colorado Football Association, RMAC, Mountain States, WAC, MW",1892,
Utah State,Aggies,Logan,Utah,"27,426",Mountain West,"Colorado Football Association, RMAC, Mountain States, Big West, Independent, Sun Belt, WAC",1892,
Vanderbilt,Commodores,Nashville,Tennessee,"13,796",SEC,"SIAA, SoCon",1890,
Virginia,Cavaliers,Charlottesville,Virginia,"26,026",ACC,"SAIAA, SoCon",1888,
Virginia Tech,Hokies,Blacksburg,Virginia,"37,279",ACC,"SAIAA, SIAA, SoCon, Big East",1892,
Wake Forest,Demon Deacons,Winston-Salem,North Carolina,"8,947",ACC,"Big Five Conference, SoCon",1888,
Washington,Huskies,Seattle,Washington,"52,439",Pac-12,PCC,1889,
Washington State,Cougars,Pullman,Washington,"29,843",Pac-12,"PCC, Independent",1893,
West Virginia,Mountaineers,Morgantown,West Virginia,"25,474",Big 12,"SoCon, WVIAC, Big East",1891,
Western Kentucky,Hilltoppers,Bowling Green,Kentucky,"16,750",C-USA,"SIAA, KIAC, OVC, MVFC, Sun Belt",1913,2009
Western Michigan,Broncos,Kalamazoo,Michigan,"19,038",MAC,MCC,1905,
Wisconsin,Badgers,Madison,Wisconsin,"47,932",Big Ten,None[n 8],1889,
Wyoming,Cowboys,Laramie,Wyoming,"11,479",Mountain West,"Colorado Football Association, RMAC, WAC",1893,
